word,phon_klattese,nSyll,polysyll,nonInitialPrimaryStress,SUBTLwf,#NAME?,SUBTLWF0to10,fam,conc,imag
blanche,bl@ˈnC,1,0,0,11.25490196,-0.007894353,9.921056465,,,
bland,bl@ˈnd,1,0,0,1.078431373,-0.859834711,1.401652893,436,338,348
blank,bl@ˈGk,1,0,0,9.705882353,-0.010615243,9.893847567,,,
blanket,bl@ˈG-k^t,2,0,0,12.98039216,-0.00593505,9.940649501,563,622,582
blankets,bl@ˈG-k^ts,2,0,0,5.098039216,-0.038476331,9.615236686,,,
blanks,bl@ˈGks,1,0,0,2.823529412,-0.125434028,8.745659722,,,
blares,blEˈrz,1,0,0,1.039215686,-0.925952296,0.740477038,,,
blaring,blEˈ-rIG,2,0,0,1.725490196,-0.335872934,6.641270661,,,
blasphemy,bl@ˈs-f^-mi,3,1,0,1.470588235,-0.4624,5.376,327,324,355
blast,bl@ˈst,1,0,0,16.17647059,-0.003821488,9.961785124,,,
blasted,bl@ˈ-st^d,2,0,0,4.490196078,-0.049598597,9.504014035,,,
blaster,bl@ˈ-stR,2,0,0,1.019607843,-0.961908284,0.38091716,,,
blasting,bl@ˈ-stIG,2,0,0,1.941176471,-0.265381084,7.346189164,,,
blatant,bleˈ-t^nt,2,0,0,1.137254902,-0.773186683,2.268133175,,,
blaze,bleˈz,1,0,0,2.098039216,-0.227181413,7.728185868,,,
blazer,bleˈ-zR,2,0,0,1.215686275,-0.676638918,3.233610822,,,
blazes,bleˈ-zIz,2,0,0,1.490196078,-0.450311634,5.496883657,,,
blazing,bleˈ-zIG,2,0,0,1.823529412,-0.300728408,6.992715921,,,
bleach,bliˈC,1,0,0,2.31372549,-0.18679977,8.132002298,549,544,510
bleachers,bliˈ-CRz,2,0,0,1.156862745,-0.747199081,2.528009193,,,
bleak,bliˈk,1,0,0,1.078431373,-0.859834711,1.401652893,466,307,435
bled,blEˈd,1,0,0,3.941176471,-0.064379595,9.356204054,,,
bleed,bliˈd,1,0,0,10.09803922,-0.009806768,9.901932322,,,
bleeding,bliˈ-dIG,2,0,0,29.7254902,-0.001131728,9.988682723,,,
bleeds,bliˈdz,1,0,0,1.470588235,-0.4624,5.376,,,
bleep,bliˈp,1,0,0,2.666666667,-0.140625,8.59375,,,
blend,blEˈnd,1,0,0,4.274509804,-0.054730242,9.452697584,,,
blender,blEˈn-dR,2,0,0,1.666666667,-0.36,6.4,,,
bless,blEˈs,1,0,0,35.05882353,-0.000813589,9.991864105,,,
blessed,blEˈst,1,0,0,13.80392157,-0.005248015,9.947519854,,,
blessing,blEˈ-sIG,2,0,0,9.705882353,-0.010615243,9.893847567,483,277,422
blessings,blEˈ-sIGz,2,0,0,4.039215686,-0.061292299,9.38707701,,,
blew,bluˈ,1,0,0,31.56862745,-0.001003434,9.989965665,533,367,404
blimp,blIˈmp,1,0,0,1.039215686,-0.925952296,0.740477038,,,
blind,blYˈnd,1,0,0,45.82352941,-0.000476237,9.995237632,531,443,485
blinded,blYˈn-dId,2,0,0,3.705882353,-0.072814311,9.271856891,,,
blindfold,blYˈnd-foˌld,2,0,0,1.725490196,-0.335872934,6.641270661,,,
blindfolded,blYˈnd-foˌl-dId,3,1,0,1.196078431,-0.699005644,3.009943564,,,
blinding,blYˈn-dIG,2,0,0,1.470588235,-0.4624,5.376,,,
blindly,blYˈnd-li,2,0,0,1.098039216,-0.82940051,1.705994898,,,
blindness,blYˈnd-n^s,2,0,0,1.31372549,-0.579416351,4.205836489,,,
blinds,blYˈndz,1,0,0,2.137254902,-0.218920966,7.810790338,,,
blink,blIˈGk,1,0,0,5.058823529,-0.039075176,9.609248242,450,,471
blinked,blIˈGkt,1,0,0,1.274509804,-0.615621302,3.843786982,,,
blinking,blIˈG-kIG,2,0,0,2.215686275,-0.203696452,7.963035477,,,
bliss,blIˈs,1,0,0,3.137254902,-0.101601563,8.983984375,,,
blisters,blIˈ-stRz,2,0,0,1.37254902,-0.530816327,4.691836735,,,
blitz,blIˈts,1,0,0,1.254901961,-0.635009766,3.649902344,,,
blizzard,blIˈ-zRd,2,0,0,1.941176471,-0.265381084,7.346189164,,,
bloated,bloˈ-tId,2,0,0,1.68627451,-0.351676582,6.483234181,,,
blob,blaˈb,1,0,0,1.176470588,-0.7225,2.775,,,
block,blaˈk,1,0,0,40.52941176,-0.000608779,9.993912214,544,558,483
blockade,blaˌ-keˈd,2,0,1,1.529411765,-0.427514793,5.724852071,,,
blockbuster,blaˈk-b^ˌ-stR,3,1,0,1.058823529,-0.891975309,1.080246914,,,
blocked,blaˈkt,1,0,0,6.784313725,-0.021726419,9.782735808,,,
blocking,blaˈ-kIG,2,0,0,5.745098039,-0.030297383,9.697026174,,,
blocks,blaˈks,1,0,0,15,-0.004444444,9.955555556,,,
bloke,bloˈk,1,0,0,4.666666667,-0.045918367,9.540816327,,,
blokes,bloˈks,1,0,0,1.431372549,-0.488084068,5.119159317,,,
blond,blaˈnd,1,0,0,10.45098039,-0.009155582,9.908444185,,,
blonde,blaˈnd,1,0,0,13.92156863,-0.005159691,9.948403095,563,502,608
blondes,blaˈndz,1,0,0,1.549019608,-0.416760135,5.832398654,,,
blood,bl^ˈd,1,0,0,186.1176471,-2.89E-05,9.999711315,571,613,620
bloodbath,bl^ˈd-b@ˌT,2,0,0,1.411764706,-0.501736111,4.982638889,,,
bloodshed,bl^ˈd-SEˌd,2,0,0,1.960784314,-0.2601,7.399,,,
bloodstream,bl^ˈd-striˌm,2,0,0,1.725490196,-0.335872934,6.641270661,,,
bloody,bl^ˈ-di,2,0,0,38.47058824,-0.000675682,9.99324318,,,
bloom,bluˈm,1,0,0,5.509803922,-0.032940312,9.670596877,426,520,524
blooming,bluˈ-mIG,2,0,0,1.588235294,-0.396433471,6.035665295,,,
blossom,blaˈ-s^m,2,0,0,3.607843137,-0.076825378,9.231746219,507,559,618
blossoms,blaˈ-s^mz,2,0,0,1.31372549,-0.579416351,4.205836489,,,
blouse,blWˈs,1,0,0,5.333333333,-0.03515625,9.6484375,562,640,595
blow,bloˈ,1,0,0,97.56862745,-0.000105046,9.99894954,528,397,458
blowing,bloˈ-IG,2,0,0,18.05882353,-0.003066346,9.969336545,,,
blown,bloˈn,1,0,0,15.90196078,-0.003954564,9.960454357,,,
blowout,bloˈ-Wˌt,2,0,0,1.490196078,-0.450311634,5.496883657,,,
